i,latencyope,time
347,186.197998,0.072252
348,182.076998,0.072439
349,200.445007,0.072644
350,185.009994,0.072834
351,184.521996,0.073024
352,181.727999,0.073210
353,186.406993,0.073401
354,183.124997,0.073589
355,180.400995,0.073774
356,181.868003,0.073960
357,183.614000,0.074149
358,186.966994,0.074341
359,182.357006,0.074528
360,181.587995,0.074714
361,180.960007,0.074900
362,182.845004,0.075088
363,184.242002,0.075277
364,182.218006,0.075463
365,181.937998,0.075651
366,181.588999,0.075837
367,183.544005,0.076025
368,185.290002,0.076215
369,182.775999,0.076402
370,203.449003,0.076611
371,189.900005,0.076805
372,183.124997,0.076993
373,188.852006,0.077187
374,181.727999,0.077374
375,187.386002,0.077566
376,184.801000,0.077756
377,186.546997,0.077948
378,185.009994,0.078137
379,183.334007,0.078325
380,187.105994,0.078517
381,182.706004,0.078705
382,183.195007,0.078894
383,182.425996,0.079081
384,184.660996,0.079270
385,186.687001,0.079462
386,183.823999,0.079651
387,179.982002,0.079835
388,185.639001,0.080026
389,183.544005,0.080214
390,186.197998,0.080405
391,202.821000,0.080612
392,181.448995,0.080799
393,184.592005,0.080988
394,181.797994,0.081175
395,183.334996,0.081364
396,180.331001,0.081548
397,186.128003,0.081739
398,182.984993,0.081928
399,184.382006,0.082116
400,184.311997,0.082306
401,178.795002,0.082493
402,187.035999,0.082685
403,182.566000,0.082872
404,181.099997,0.083058
405,181.868003,0.083245
406,182.985998,0.083433
407,185.849000,0.083623
408,185.080993,0.083813
409,179.074006,0.083997
410,187.455007,0.084190
411,183.195007,0.084378
412,203.798001,0.084586
413,188.503007,0.084780
414,180.750998,0.084965
415,185.290002,0.085155
416,183.124997,0.085343
417,182.984993,0.085531
418,181.379000,0.085718
419,186.128003,0.085908
420,185.500001,0.086098
421,185.500001,0.086288
422,186.197998,0.086480
423,182.356001,0.086667
424,185.359997,0.086857
425,184.452001,0.087047
426,184.801000,0.087236
427,179.354000,0.087420
428,183.544005,0.087609
429,186.617995,0.087801
430,181.448995,0.087987
431,178.935006,0.088170
432,184.941004,0.088360
433,197.023997,0.088563
434,190.388004,0.088758
435,182.706004,0.088945
436,183.893993,0.089134
437,185.430006,0.089325
438,182.496005,0.089513
439,184.870994,0.089702
440,180.749994,0.089888
441,184.592005,0.090078
442,186.896999,0.090269
443,181.518000,0.090455
444,182.774995,0.090643
445,178.724993,0.090826
446,183.473996,0.091015
447,186.478006,0.091206
448,181.937998,0.091392
449,180.121002,0.091577
450,183.265001,0.091766
451,183.334996,0.091955
452,186.687001,0.092145
453,180.820003,0.092331
454,197.303001,0.092533
455,188.013000,0.092727
456,183.614000,0.092915
457,183.822995,0.093104
458,181.448995,0.093290
459,182.984993,0.093478
460,183.544005,0.093666
461,183.544005,0.093855
462,178.445000,0.094038
463,184.103003,0.094227
464,185.219993,0.094417
465,183.544005,0.094605
466,185.359997,0.094795
467,179.633003,0.094979
468,483.234995,0.095468
469,189.760001,0.095666
470,184.382006,0.095856
471,183.683005,0.096044
472,184.242002,0.096233
473,186.128003,0.096425
474,203.449003,0.096633
475,181.727999,0.096820
476,184.731005,0.097009
477,186.128993,0.097200
478,182.706004,0.097388
479,184.243007,0.097577
480,181.030002,0.097762
481,185.779005,0.097953
482,183.754004,0.098142
483,183.683005,0.098330
484,181.936994,0.098517
485,181.727999,0.098704
486,186.478006,0.098894
487,183.823999,0.099083
488,182.496995,0.099270
489,181.937998,0.099457
490,181.658994,0.099643
491,182.566000,0.099830
492,181.238996,0.100017
493,181.448995,0.100204
494,187.174999,0.100395
495,201.283998,0.100601
496,195.068002,0.100800
497,225.448995,0.101031
498,187.943995,0.101223
499,186.546997,0.101415
500,184.032993,0.101604
501,185.080004,0.101796
502,179.982002,0.101982
503,185.359997,0.102171
504,183.404001,0.102360
505,183.265001,0.102548
506,182.775999,0.102736
507,182.635995,0.102924
508,185.918005,0.103114
509,184.660996,0.103303
510,181.937998,0.103491
511,182.357006,0.103677
512,183.195007,0.103866
513,183.055003,0.104053
514,184.101998,0.104242
515,180.540999,0.104428
516,342.852989,0.104816
517,187.315003,0.105009
518,188.293998,0.105202
519,181.379000,0.105388
520,179.843002,0.105573
521,185.987999,0.105764
522,182.636999,0.105952
523,182.007003,0.106138
524,181.170006,0.106325
525,186.617006,0.106516
526,183.754004,0.106704
527,183.614000,0.106893
528,181.868003,0.107079
529,183.404001,0.107268
530,187.665006,0.107461
531,182.845004,0.107648
532,183.612996,0.107837
533,183.263997,0.108025
534,182.147007,0.108211
535,183.614000,0.108400
536,199.399001,0.108604
537,183.683005,0.108793
538,186.895995,0.108985
539,187.105994,0.109176
540,184.103003,0.109365
541,182.217002,0.109552
542,178.654998,0.109735
543,185.010998,0.109925
544,180.679999,0.110111
545,185.010998,0.110301
546,180.122006,0.110486
547,183.823999,0.110675
548,185.080993,0.110865
549,181.519004,0.111051
550,180.820003,0.111236
551,181.937998,0.111424
552,182.636999,0.111611
553,184.171993,0.111799
554,182.845004,0.111987
555,181.797994,0.112173
556,182.357006,0.112360
557,326.859998,0.112692
558,185.708996,0.112883
559,184.662000,0.113072
560,189.968996,0.113266
561,183.614000,0.113455
562,184.521996,0.113645
563,182.775999,0.113832
564,178.724993,0.114016
565,185.989004,0.114207
566,182.706004,0.114394
567,185.430006,0.114584
568,179.354000,0.114768
569,184.731005,0.114958
570,188.503007,0.115151
571,180.749994,0.115336
572,181.729003,0.115523
573,182.775999,0.115711
574,182.496995,0.115897
575,183.823999,0.116086
576,182.286996,0.116273
577,180.889998,0.116459
578,203.518997,0.116668
579,186.338002,0.116859
580,183.754004,0.117047
581,179.213996,0.117232
582,184.592005,0.117421
583,183.334007,0.117608
584,182.916003,0.117796
585,183.544005,0.117984
586,178.375994,0.118168
587,183.823999,0.118357
588,182.008007,0.118543
589,184.103003,0.118732
590,180.681003,0.118918
591,188.852006,0.119111
592,188.363003,0.119304
593,182.218006,0.119491
594,182.635995,0.119679
595,179.213996,0.119862
596,183.124997,0.120050
597,188.571998,0.120243
598,183.263997,0.120431
599,198.210997,0.120634
600,187.664002,0.120827
601,184.382006,0.121019
602,184.662000,0.121209
603,181.658004,0.121395
604,184.731005,0.121585
605,183.265001,0.121773
606,183.683995,0.121961
607,182.496995,0.122149
608,181.587995,0.122335
609,185.640005,0.122526
610,181.588999,0.122712
611,181.380005,0.122898
612,180.749994,0.123084
613,185.569006,0.123274
614,187.105994,0.123466
615,183.195007,0.123654
616,182.147007,0.123841
617,181.238996,0.124027
618,183.544005,0.124215
619,182.357006,0.124403
620,199.678005,0.124607
621,281.252986,0.124893
622,338.312995,0.125247
623,410.389999,0.125668
624,383.361999,0.126063
625,245.074014,0.126320
626,302.064989,0.126632
627,276.364008,0.126918
628,232.783001,0.127160
629,174.045999,0.127343
630,151.276996,0.127498
631,157.493007,0.127660
632,156.166003,0.127821
633,153.651999,0.127979
634,155.119007,0.128138
635,155.048998,0.128298
636,156.725000,0.128459
637,175.513007,0.128639
638,155.468006,0.128799
639,152.604000,0.128957
640,155.048998,0.129116
641,155.956004,0.129277
642,151.974993,0.129434
643,151.137996,0.129589
644,157.143993,0.129751
645,156.584996,0.129912
646,154.979003,0.130071
647,150.369000,0.130226
648,153.511995,0.130385
649,229.290003,0.130618
650,261.976995,0.130887
651,282.510009,0.131178
652,270.566990,0.131459
653,208.616999,0.131677
654,201.842995,0.131886
655,197.513000,0.132090
656,199.048998,0.132297
657,208.825993,0.132513
658,210.013997,0.132730
659,201.912000,0.132939
660,196.185996,0.133143
661,230.478006,0.133381
662,225.448995,0.133616
663,230.688005,0.133855
664,226.427001,0.134090
665,222.375995,0.134322
666,232.922001,0.134564
667,230.058999,0.134803
668,231.875005,0.135043
669,226.567005,0.135279
670,223.284005,0.135512
671,232.224003,0.135753
672,231.315993,0.135993
673,236.413995,0.136239
674,346.274988,0.136594
675,423.240999,0.137029
676,483.445008,0.137524
677,444.542995,0.137981
678,341.736013,0.138335
679,279.716012,0.138624
680,237.322005,0.138871
681,239.487999,0.139119
682,227.614000,0.139356
683,226.147997,0.139591
684,225.170006,0.139825
685,228.243007,0.140062
686,228.523000,0.140300
687,257.645996,0.140620
688,298.713014,0.140929
689,262.115995,0.141201
690,236.344000,0.141447
691,227.964003,0.141684
692,222.795003,0.141916
693,231.665006,0.142157
694,229.430007,0.142396
695,232.852995,0.142638
696,223.772993,0.142871
697,225.448995,0.143105
698,233.131999,0.143347
699,227.265002,0.143583
700,232.783001,0.143825
701,226.147997,0.144065
702,226.845994,0.144301
703,258.624001,0.144569
704,235.715997,0.144816
705,228.033998,0.145052
706,228.382996,0.145289
707,205.054996,0.145502
708,200.864000,0.145710
709,197.093002,0.145914
710,200.933995,0.146122
711,220.700007,0.146351
712,226.567005,0.146587
713,229.080004,0.146825
714,221.537994,0.147056
715,225.937998,0.147291
716,226.916003,0.147526
717,249.125005,0.147785
718,228.941004,0.148023
719,225.170006,0.148257
720,231.106998,0.148497
721,248.008000,0.148765
722,228.103003,0.149002
723,227.615004,0.149239
724,225.448995,0.149474
725,231.943995,0.149715
726,230.687001,0.149954
727,226.357006,0.150190
728,226.288001,0.150425
729,229.290003,0.150664
730,232.293998,0.150906
731,223.213996,0.151138
732,234.178995,0.151381
733,226.845994,0.151617
734,228.521996,0.151854
735,230.897000,0.152094
736,219.652007,0.152323
737,251.640013,0.152583
738,314.776989,0.152908
739,290.961005,0.153208
740,271.055993,0.153489
741,235.436994,0.153734
742,234.667998,0.153977
743,242.002003,0.154228
744,238.648994,0.154477
745,244.516006,0.154731
746,226.845994,0.154967
747,227.334996,0.155204
748,226.078002,0.155439
749,228.171994,0.155676
750,231.665006,0.155917
751,229.500001,0.156155
752,229.569996,0.156394
753,251.988997,0.156655
754,232.014005,0.156896
755,229.430996,0.157135
756,225.658994,0.157370
757,231.665006,0.157611
758,223.983006,0.157844
759,232.713006,0.158085
760,226.567005,0.158321
761,225.170006,0.158555
762,229.080004,0.158794
763,230.687001,0.159033
764,235.297004,0.159278
765,224.192001,0.159511
766,227.614000,0.159748
767,233.480998,0.159991
768,227.055003,0.160227
769,227.964003,0.160464
770,252.408005,0.160726
771,295.918988,0.161031
772,298.922998,0.161340
773,234.948006,0.161584
